Strategy,FR_RMSE,UK_RMSE,Combined
Global,32.84013111434631,12.010490055279616,44.85062116962593
Cluster (4),33.62797002221672,11.713214977262888,45.34118499947961
Hourly (24),34.21808537219279,12.157228823531936,46.37531419572473
